교과목명,분반,교수,개설학과전공,이수구분,영역,캠퍼스,학점/이론/실습,시간표,수업유형,수강안내 및 지정내용,평점,출결,시험,과제,조모임,성적,예측_강의력,예측_풀강
인문 고전의 이해,1,조국,인문융합예술대학,핵심전공,2영역,수정,3.0/3.0/0.0,화/1-3,일반,,4.19,복합적,없음,보통,보통,보통,좋음,모름
국문학의 이해,1,강혜선,국어국문학과,핵심전공,1영역,수정,3.0/3.0/0.0,화/4-6,일반,[GeM(문학과 예술)],3.5,직접호명,두 번,많음,보통,보통,좋음,풀강
국어학의 이해,1,박부자,국어국문학과,핵심전공,1영역,수정,3.0/3.0/0.0,월/4-6,일반(블렌디드형),[1학년전공탐색][GeM(인식과 가치)] / 플립드러닝 강좌,4.43,직접호명,두 번,보통,없음,보통,좋음,모름
현대문학의 이해,1,김명석,국어국문학과,핵심전공,1영역,수정,3.0/3.0/0.0,수/4-6,일반,[1학년전공탐색][GeM(문학과 예술)] / 현대실용음악학과 전공 인정 지정 과목,3.53,복합적,두 번,보통,없음,보통,좋음,풀강 아님
국어문법론,1,홍승혜,국어국문학과,핵심전공,2영역,수정,3.0/3.0/0.0,목/7-9,일반,,4.62,전자출결,두 번,보통,없음,보통,좋음,풀강 아님
고전문학과 전통문화,1,강혜선,국어국문학과,핵심전공,2영역,수정,3.0/3.0/0.0,수/7-9,일반(블렌디드형),[GeM(문학과 예술)] / 플립드러닝 강좌,3.93,직접호명,두 번,보통,없음,보통,좋음,풀강
한국문학과 여성,1,강진호,국어국문학과,핵심전공,2영역,수정,3.0/3.0/0.0,화/7-9,일반,,2.43,직접호명,한 번,많음,보통,보통,보통,모름
문학교육론,1,강진호,국어국문학과,핵심전공,2영역,수정,3.0/3.0/0.0,화/4-6,일반,,3.67,직접호명,한 번,보통,보통,보통,좋음,풀강 아님
설화와 스토리텔링,1,김나영,국어국문학과,핵심전공,2영역,수정,3.0/3.0/0.0,월/7-9,일반,,2.81,직접호명,두 번,보통,보통,보통,나쁨,풀강
현대소설과 사회,1,김예니,국어국문학과,핵심전공,2영역,수정,3.0/3.0/0.0,목/4-6,일반,,3.5,모름,모름,모름,모름,모름,좋음,모름
한국문학과 세계문학,1,송향경,국어국문학과,심화전공,3영역,수정,3.0/3.0/0.0,목/4-6,일반,,2.58,직접호명,두 번,많음,없음,보통,나쁨,풀강
국어 교과교육론,1,김혜련,국어국문학과,심화전공,3영역,수정,3.0/2.0/1.0,월/4-6,일반,교직 수업으로서 외국인 학생의 수강이 제한됨,3.6,직접호명,두 번,많음,보통,보통,보통,모름
국어 논리 및 논술,1,김혜련,국어국문학과,심화전공,3영역,수정,3.0/2.0/1.0,화/7-9,일반,교직 수업으로서 외국인 학생의 수강이 제한됨,3.54,직접호명,두 번,보통,보통,보통,보통,모름
옛노래의 세계,1,강혜선,국어국문학과,심화전공,3영역,수정,3.0/3.0/0.0,목/7-9,일반,,3.65,직접호명,두 번,보통,없음,보통,좋음,풀강
문화와 비평,1,정슬아,국어국문학과,심화전공,4영역,수정,3.0/3.0/0.0,수/4-6,일반,미디어커뮤니케이션학과 전공 인정 지정 과목,4.37,전자출결,한 번,보통,없음,보통,좋음,모름
영미사회와 문화,1,고정민,영어영문학과,핵심전공,1영역,수정,3.0/3.0/0.0,수/4-6,일반(블렌디드형),[GeM(문학과예술)],3.78,직접호명,두 번,없음,없음,보통,보통,풀강
영미단편,1,정이화,영어영문학과,핵심전공,1영역,수정,3.0/3.0/0.0,화/4-6,일반(블렌디드형),첫 OT 수업 출석 필수/[GeM(문학과예술)],3.79,직접호명,두 번,없음,보통,보통,보통,모름
영어학101,1,윤태진,영어영문학과,핵심전공,1영역,수정,3.0/3.0/0.0,화/7-9,일반,[1학년전공탐색][GeM(인식과가치)],3.67,전자출결,두 번,없음,없음,보통,보통,풀강
여성과 영문학,1,백진,영어영문학과,핵심전공,1영역,수정,3.0/3.0/0.0,월/4-6,일반,[1학년전공탐색][GeM(문학과예술)],4.13,전자출결,두 번,없음,없음,보통,보통,풀강
통역실습,1,고상숙,영어영문학과,핵심전공,2영역,수정,3.0/1.5/1.5,월/4-6,일반,,3.95,직접호명,두 번,없음,없음,보통,보통,모름
실용영어 스피치와 프리젠테이션,1,마이클 엘리어트,영어영문학과,핵심전공,2영역,수정,3.0/2.0/1.0,화/1-3,일반,,4.22,직접호명,두 번,보통,많음,보통,좋음,모름
실용영어 스피치와 프리젠테이션,2,마이클 엘리어트,영어영문학과,핵심전공,2영역,수정,3.0/2.0/1.0,목/1-3,일반,,4.22,직접호명,두 번,보통,많음,보통,좋음,모름
오스틴과 브론테의 소설 세계,1,남윤아,영어영문학과,핵심전공,2영역,수정,3.0/3.0/0.0,수/4-6,일반,[GeM(문학과예술)],3.86,직접호명,한 번,없음,없음,보통,좋음,모름
응용 영어학,1,윤태진,영어영문학과,핵심전공,2영역,수정,3.0/3.0/0.0,월/7-9,원격(녹화콘텐츠),,3.94,전자출결,두 번,없음,없음,보통,보통,풀강 아님
영미희곡,1,신은주,영어영문학과,핵심전공,2영역,수정,3.0/3.0/0.0,화/7-9,일반,,1.78,전자출결,두 번,많음,없음,보통,나쁨,풀강
AI를 활용한 영어 연구,1,윤태진,영어영문학과,핵심전공,2영역,수정,3.0/2.0/1.0,화/4-6,일반(블렌디드형),[GeM(공학과기술)],4,직접호명,모름,많음,보통,보통,보통,모름
외국어 교과교육론(서양권),1,고정민,영어영문학과,심화전공,3영역,수정,3.0/2.0/1.0,화/4-6,일반(블렌디드형),"영어를 가르치는 방법에 관심이 있는 학생은 누구든지 수강 가능함. 출판사 취업에 관심있는 학생에게 수강하길 권하며, 학원이나 과외에서 교수(teaching)시 많은 도움이 됨.",3.26,직접호명,두 번,많음,많음,보통,보통,모름
외국어 논리 및 논술(서양권),1,고정민,영어영문학과,심화전공,3영역,수정,3.0/2.0/1.0,수/7-9,일반,"전반부는 일반적인 영어 글쓰기 향상에 중점을 두고, 마지막 2-3주동안은 영어 교육과 관련된 글쓰기를 할 예정임",2.44,직접호명,한 번,많음,많음,보통,나쁨,풀강
미국문학으로 보는 다문화주의,1,선희정,영어영문학과,심화전공,3영역,수정,3.0/3.0/0.0,월/7-9,일반,"2023-1학기까지 개설된 '현대미국소설'과 학수번호가 동일하여, '현대미국소설' 기수강자는 본 강의 수강시 재수강처리 된다는 점을 숙지해주시기 바랍니다.",1,모름,모름,모름,모름,모름,나쁨,모름
영미명작읽기,1,정이화,영어영문학과,심화전공,3영역,수정,3.0/3.0/0.0,목/4-6,일반(블렌디드형),원어강좌,4.65,직접호명,두 번,보통,보통,너그러움,좋음,모름
미국 드라마 스토리텔링,1,마이클 엘리어트,영어영문학과,심화전공,4영역,수정,3.0/2.0/1.0,목/7-9,일반,,3.79,직접호명,두 번,보통,보통,보통,보통,풀강
실험통사론,1,이경미,영어영문학과,심화전공,4영역,수정,3.0/2.0/1.0,금/4-6,일반,,모름,모름,모름,모름,모름,모름,모름,모름
기초독일어 1,1,김길웅,독일어문·문화학과,핵심전공,1영역,수정,3.0/0.0/3.0,월/4-6,일반,[1학년전공탐색] [GeM(제2외국어)],3.92,전자출결,두 번,없음,없음,보통,좋음,풀강 아님
독일어권 문화와 사회,1,이재영,독일어문·문화학과,핵심전공,1영역,수정,3.0/3.0/0.0,수/4-6,일반,[1학년전공탐색] [GeM(사회의 이해)],3.5,직접호명,두 번,없음,보통,보통,보통,모름
기초독일어회화 1,1,마크 슈라플락,독일어문·문화학과,핵심전공,1영역,수정,3.0/0.0/3.0,월/7-9,일반,,3.64,직접호명,두 번,없음,없음,보통,좋음,풀강
독일 텍스트 강독,1,김동훈,독일어문·문화학과,핵심전공,2영역,수정,3.0/0.0/3.0,화/4-6,일반,수강생의 어학수준을 고려하여 한국어와 독일어가 병행됩니다.,모름,모름,모름,모름,모름,모름,모름,모름
독문학개론,1,이재영,독일어문·문화학과,핵심전공,2영역,수정,3.0/2.0/1.0,월/4-6,일반,,4,직접호명,두 번,없음,없음,보통,나쁨,풀강
독일어 듣기와 말하기1,1,마크 슈라플락,독일어문·문화학과,핵심전공,2영역,수정,3.0/0.0/3.0,수/7-9,일반,,3.5,모름,모름,모름,모름,모름,보통,모름
중급독일어1,1,마크 슈라플락,독일어문·문화학과,핵심전공,2영역,수정,3.0/0.0/3.0,수/4-6,일반,"*교과서 공동구매
*본 강의는 독일어 및 영어 공동으로 진행됩니다.",모름,모름,모름,모름,모름,모름,모름,모름
독일소설 읽기,1,한상희,독일어문·문화학과,심화전공,3영역,수정,3.0/3.0/0.0,수/4-6,일반,,4.5,모름,모름,모름,모름,모름,좋음,풀강
독일어의 구조,1,김유리,독일어문·문화학과,심화전공,3영역,수정,3.0/3.0/0.0,화/7-9,일반,,모름,모름,모름,모름,모름,모름,모름,모름
독일어 에세이와 프레젠테이션,1,마크 슈라플락,독일어문·문화학과,심화전공,3영역,수정,3.0/0.0/3.0,목/4-6,일반,,모름,모름,모름,모름,모름,모름,모름,모름
시사 독일어,1,이재영,독일어문·문화학과,심화전공,3영역,수정,3.0/3.0/0.0,수/7-9,일반,,모름,모름,모름,모름,모름,모름,모름,모름
독일동화와 민담,1,김동훈,독일어문·문화학과,심화전공,4영역,수정,3.0/3.0/0.0,목/7-9,일반,교과서 공동구매,5,모름,모름,모름,모름,모름,좋음,모름
초급프랑스어 1,1,홍용철,프랑스어문·문화학과,핵심전공,1영역,수정,3.0/0.0/3.0,화/4-6,일반,[1학년전공탐색] [GeM(제2외국어)],4.34,직접호명,두 번,보통,없음,보통,좋음,풀강
초급프랑스어 1,2,이채영,프랑스어문·문화학과,핵심전공,1영역,수정,3.0/0.0/3.0,화/4-6,일반,[1학년전공탐색] [GeM(제2외국어)],4.48,직접호명,두 번,보통,없음,보통,좋음,풀강
프랑스어 발음연습,1,신티아 로랭,프랑스어문·문화학과,핵심전공,1영역,수정,3.0/0.0/3.0,월/7-9,일반,,4.86,직접호명,두 번,보통,없음,보통,좋음,풀강
프랑스 문화와 명작산책,1,이채영,프랑스어문·문화학과,핵심전공,1영역,수정,3.0/3.0/0.0,목/7-9,일반,[1학년전공탐색] [GeM(문학과 예술)]/현대실용음악학과 전공 인정 지정 과목,3.68,직접호명,두 번,보통,없음,보통,좋음,모름
프랑스어회화 A2,1,신티아 로랭,프랑스어문·문화학과,핵심전공,2영역,수정,3.0/0.0/3.0,목/7-9,일반,,5,모름,모름,모름,모름,모름,모름,풀강 아님
중급프랑스어 1,1,홍용철,프랑스어문·문화학과,핵심전공,2영역,수정,3.0/3.0/0.0,목/4-6,일반,,4,직접호명,두 번,보통,없음,보통,좋음,풀강
프랑스 공연예술,1,김혜중,프랑스어문·문화학과,핵심전공,2영역,수정,3.0/3.0/0.0,월/4-6,일반,"Gem 과목, 문학과 예술 영역",3.53,직접호명,두 번,없음,없음,보통,나쁨,모름
DELF A2-B1,1,신티아 로랭,프랑스어문·문화학과,심화전공,3영역,수정,3.0/3.0/0.0,목/1-3,일반,구) 프랑스어회화 B1(AJ001800)와 동일한 과목임,4.67,직접호명,두 번,보통,없음,보통,좋음,모름
프랑스 문학과 예술의 흐름 1,1,박언주,프랑스어문·문화학과,심화전공,3영역,수정,3.0/3.0/0.0,목/7-9,일반,,3.5,직접호명,두 번,보통,없음,보통,나쁨,풀강 아님
프랑스어 어휘와 문화,1,박혜선,프랑스어문·문화학과,심화전공,3영역,수정,3.0/3.0/0.0,화/7-9,일반,,2.75,직접호명,두 번,많음,없음,보통,보통,모름
프랑스어 번역의 실제,1,박선희,프랑스어문·문화학과,심화전공,4영역,수정,3.0/3.0/0.0,수/7-9,일반,,5,직접호명,두 번,보통,없음,너그러움,좋음,모름
프랑스 비즈니스 문화,1,신티아 로랭,프랑스어문·문화학과,심화전공,4영역,수정,3.0/3.0/0.0,화/4-6,일반,본 강의는 외국어 전용 강좌 입니다.,모름,모름,모름,모름,모름,모름,모름,모름
현대프랑스소설과 작가,1,서지형,프랑스어문·문화학과,심화전공,4영역,수정,3.0/3.0/0.0,목/4-6,일반,,5,모름,모름,모름,모름,모름,좋음,모름
초급일본어연습 1,1,다케우치 노리아키,일본어문·문화학과,핵심전공,1영역,수정,3.0/0.0/3.0,화/4-6,일반,,4.53,직접호명,두 번,없음,없음,보통,좋음,풀강 아님
초급일본어연습 1,2,다케우치 노리아키,일본어문·문화학과,핵심전공,1영역,수정,3.0/0.0/3.0,화/7-9,일반,,4.53,직접호명,두 번,없음,없음,보통,좋음,풀강 아님
초급일본어연습 1,3,네고로 유키,일본어문·문화학과,핵심전공,1영역,수정,3.0/0.0/3.0,목/1-3,일반,,4.03,직접호명,두 번,보통,없음,보통,좋음,풀강 아님
일본어 기초표현 1,1,안평호,일본어문·문화학과,핵심전공,1영역,수정,3.0/3.0/0.0,금/4-6,일반,[1학년전공탐색] [GeM(제2외국어)],3.56,직접호명,두 번,보통,없음,너그러움,보통,풀강 아님
일본어 기초표현 1,2,홍윤표,일본어문·문화학과,핵심전공,1영역,수정,3.0/3.0/0.0,월/4-6,일반,[1학년전공탐색] [GeM(제2외국어)],4.54,직접호명,두 번,보통,없음,보통,좋음,모름
일본어 기초표현 1,3,김경수,일본어문·문화학과,핵심전공,1영역,수정,3.0/3.0/0.0,수/7-9,일반,[1학년전공탐색] [GeM(제2외국어)],3.54,직접호명,두 번,없음,없음,보통,나쁨,풀강
일본의 이해,1,홍윤표,일본어문·문화학과,핵심전공,1영역,수정,3.0/3.0/0.0,목/4-6,일반,[1학년전공탐색] [GeM(사회의 이해)],4.61,직접호명,두 번,보통,없음,보통,좋음,모름
중급일본어연습 1,1,다케우치 노리아키,일본어문·문화학과,핵심전공,2영역,수정,3.0/0.0/3.0,목/7-9,일반,,4.14,전자출결,두 번,보통,없음,보통,보통,풀강
일본어 중급표현 1,1,김경수,일본어문·문화학과,핵심전공,2영역,수정,3.0/3.0/0.0,수/4-6,일반,,3.8,직접호명,두 번,없음,없음,보통,좋음,풀강
중급일본어회화 1,1,다케우치 노리아키,일본어문·문화학과,핵심전공,2영역,수정,3.0/0.0/3.0,목/4-6,일반,,4.35,직접호명,두 번,보통,없음,보통,좋음,모름
중급일본어회화 1,2,네고로 유키,일본어문·문화학과,핵심전공,2영역,수정,3.0/0.0/3.0,월/4-6,일반,,4.11,직접호명,두 번,없음,없음,보통,좋음,풀강
일본애니메이션과 일본사회,1,남휘정,일본어문·문화학과,핵심전공,2영역,수정,3.0/3.0/0.0,수/7-9,일반,,3.21,전자출결,한 번,보통,없음,보통,나쁨,풀강
일본문학의 흐름 1,1,김정희,일본어문·문화학과,심화전공,3영역,수정,3.0/3.0/0.0,수/4-6,일반,,4,모름,모름,모름,모름,모름,좋음,모름
일본어 교과교육론,1,안평호,일본어문·문화학과,심화전공,3영역,수정,3.0/2.0/1.0,금/7-9,일반,,2.67,모름,모름,보통,없음,보통,모름,모름
고급일본어회화,1,네고로 유키,일본어문·문화학과,심화전공,3영역,수정,3.0/0.0/3.0,화/1-3,일반,,4.18,직접호명,두 번,보통,없음,보통,좋음,모름
일본어 고급표현 1,1,정미령,일본어문·문화학과,심화전공,3영역,수정,3.0/3.0/0.0,목/7-9,일반,,3.67,직접호명,두 번,없음,없음,보통,보통,모름
일본어학개론,1,정미령,일본어문·문화학과,심화전공,3영역,수정,3.0/3.0/0.0,목/4-6,일반,,2.5,직접호명,두 번,없음,없음,보통,나쁨,모름
비즈니스 일본어와 프레젠테이션,1,정미령,일본어문·문화학과,심화전공,4영역,수정,3.0/0.0/3.0,화/4-6,일반,,3.5,직접호명,두 번,보통,없음,보통,좋음,풀강 아님
일본문학・문화의 비교연구,1,남휘정,일본어문·문화학과,심화전공,4영역,수정,3.0/3.0/0.0,화/7-9,일반,,모름,모름,모름,모름,모름,모름,모름,모름
일본 근현대문학과 내러티브,1,홍윤표,일본어문·문화학과,심화전공,4영역,수정,3.0/3.0/0.0,수/4-6,일반,,4.77,직접호명,두 번,없음,없음,너그러움,좋음,모름
일본어로 읽는 세계의 이슈,1,김미정,일본어문·문화학과,심화전공,4영역,수정,3.0/3.0/0.0,수/1-3,일반,,5,모름,모름,모름,모름,모름,좋음,모름
중국문화의 이해,1,정세진,중국어문·문화학과,핵심전공,1영역,수정,3.0/3.0/0.0,금/4-6,일반(블렌디드형),[1학년전공탐색][GeM(사회의 이해)] / (교직) 기본이수과목,4.71,전자출결,두 번,보통,없음,보통,좋음,모름
초급중국어 회화 1,1,정세진,중국어문·문화학과,핵심전공,1영역,수정,3.0/0.0/3.0,화/4-6,일반,"중국어문·문화학과 1학년만 수강 가능, 타학년/타전공 수강 불가",5,직접호명,두 번,보통,보통,보통,좋음,풀강
초급중국어 회화 1,2,리우 나,중국어문·문화학과,핵심전공,1영역,수정,3.0/0.0/3.0,화/4-6,일반,"중국어문·문화학과 1학년만 수강 가능, 타학년/타전공 수강 불가",4.64,직접호명,두 번,보통,없음,너그러움,좋음,풀강
초급중국어 회화 1,3,노은정,중국어문·문화학과,핵심전공,1영역,수정,3.0/0.0/3.0,화/7-9,일반,중국어문·문화학과 1학년 수강 불가(타과생 수강가능 분반),4.33,직접호명,두 번,보통,없음,보통,좋음,풀강
기초중국어리딩1,1,김수진,중국어문·문화학과,핵심전공,1영역,수정,3.0/0.0/3.0,월/7-9,일반,구) 초급중국어 1(AL000300)과 동일한 과목입니다. / [1학년전공탐색] [GeM(제2외국어)],4.67,직접호명,두 번,없음,없음,너그러움,좋음,모름
기초중국어리딩1,2,김경림,중국어문·문화학과,핵심전공,1영역,수정,3.0/0.0/3.0,월/7-9,일반,구) 초급중국어 1(AL000300)과 동일한 과목입니다. / [1학년전공탐색] [GeM(제2외국어)],4.33,직접호명,모름,보통,없음,보통,좋음,모름
기초중국어리딩1,3,신준호,중국어문·문화학과,핵심전공,1영역,수정,3.0/0.0/3.0,목/7-9,일반,"중국어문·문화학과 1학년 수강 불가(타과생 수강가능 분반)
구) 초급중국어 1(AL000300)과 동일한 과목입니다. / [1학년전공탐색] [GeM(제2외국어)]",4.25,직접호명,두 번,보통,많음,보통,좋음,모름
중국시와 음식문화콘텐츠,1,정세진,중국어문·문화학과,핵심전공,1영역,수정,3.0/2.0/1.0,목/4-6,일반(블렌디드형),격년 개설강좌,5,전자출결,두 번,보통,보통,보통,좋음,모름
중국문학사 1,1,노은정,중국어문·문화학과,핵심전공,2영역,수정,3.0/3.0/0.0,수/4-6,일반,[GeM(문학과 예술)],3,직접호명,두 번,보통,없음,보통,보통,풀강
중급중국어 1,1,정세진,중국어문·문화학과,핵심전공,2영역,수정,3.0/0.0/3.0,월/4-6,일반(블렌디드형),,3.6,직접호명,두 번,보통,없음,보통,좋음,모름
중급중국어 회화 1,1,리우 나,중국어문·문화학과,핵심전공,2영역,수정,3.0/0.0/3.0,금/4-6,일반,,4.25,직접호명,두 번,보통,많음,보통,좋음,풀강
중급중국어 회화 1,2,이정인,중국어문·문화학과,핵심전공,2영역,수정,3.0/0.0/3.0,수/1-3,일반,,4,모름,모름,모름,모름,모름,좋음,모름
디지털 중국어문학의 이해,1,김화진,중국어문·문화학과,핵심전공,2영역,수정,3.0/3.0/0.0,화/7-9,일반,,모름,모름,모름,모름,모름,모름,모름,모름
중국현대문학과 문화,1,김수진,중국어문·문화학과,심화전공,3영역,수정,3.0/3.0/0.0,목/7-9,일반,,4.85,직접호명,두 번,없음,없음,너그러움,좋음,모름
중국 고전산문과 문화 코드,1,황정희,중국어문·문화학과,심화전공,3영역,수정,3.0/2.0/1.0,목/4-6,일반,,1,직접호명,두 번,보통,보통,보통,나쁨,모름
고급중국어 연습과 토론,1,리우 나,중국어문·문화학과,심화전공,3영역,수정,3.0/0.0/3.0,화/7-9,일반,,5,직접호명,두 번,보통,없음,너그러움,좋음,모름
중국어 교과교육론,1,신준호,중국어문·문화학과,심화전공,3영역,수정,3.0/2.0/1.0,화/1-3,일반(블렌디드형),중국어 교과교육영역 과목,5,직접호명,두 번,없음,없음,너그러움,좋음,모름
외국어 논리 및 논술(동양권),1,신준호,중국어문·문화학과,심화전공,3영역,수정,3.0/2.0/1.0,목/1-3,일반(블렌디드형),중국어 및 일본어 교과교육영역 과목,4.89,직접호명,두 번,보통,보통,너그러움,좋음,풀강 아님
중국어작문,1,리우 나,중국어문·문화학과,심화전공,3영역,수정,3.0/0.0/3.0,수/4-6,일반,,4.63,직접호명,두 번,보통,없음,너그러움,좋음,풀강
중국어번역연습,1,황정희,중국어문·문화학과,심화전공,4영역,수정,3.0/1.0/2.0,화/4-6,일반,,3.31,직접호명,두 번,보통,없음,보통,보통,풀강
시사중국어,1,이정인,중국어문·문화학과,심화전공,4영역,수정,3.0/0.0/3.0,수/7-9,일반,,2.56,직접호명,두 번,보통,보통,너그러움,나쁨,풀강
역사적 내러티브의 이해와 활용,1,조국,사학과,핵심전공,1영역,수정,3.0/3.0/0.0,수/4-6,일반,[GeM(역사의 해석)],3.92,직접호명,두 번,보통,없음,보통,나쁨,모름
공공역사와 미디어,1,이규철,사학과,핵심전공,1영역,수정,3.0/3.0/0.0,화/4-6,일반,[1학년 전공탐색 과목] [GeM(역사의 해석)],3.73,직접호명,한 번,보통,없음,보통,좋음,풀강
문화유산의 이해,1,강호선,사학과,핵심전공,1영역,수정,3.0/3.0/0.0,목/4-6,일반,[1학년 전공탐색 과목] [GeM(역사의 해석)],4.3,직접호명,두 번,보통,없음,보통,좋음,풀강
한국 고대국가의 성립과 발전,1,김지희,사학과,핵심전공,2영역,수정,3.0/3.0/0.0,목/4-6,일반,,4.69,직접호명,한 번,보통,없음,보통,좋음,모름
서양사 1- 고중세사,1,차승현,사학과,핵심전공,2영역,수정,3.0/3.0/0.0,목/1-3,일반,,4.48,직접호명,두 번,없음,없음,보통,좋음,풀강
조선시대의 역사와 문화,1,이규철,사학과,핵심전공,2영역,수정,3.0/3.0/0.0,월/7-9,일반,,4.23,직접호명,한 번,보통,없음,보통,좋음,모름
동아시아사 1 : 일본사회의 성립과 발전,1,조국,사학과,핵심전공,2영역,수정,3.0/3.0/0.0,화/4-6,일반(블렌디드형),일본어문·문화학과 전공 인정 지정 과목 / 플립드러닝 강좌,3.5,직접호명,두 번,보통,없음,보통,나쁨,모름
현재의 역사: 세계 이슈의 역사적 기원,1,박해운,사학과,핵심전공,2영역,수정,3.0/3.0/0.0,목/7-9,일반,,3.25,직접호명,두 번,보통,없음,너그러움,나쁨,모름
현대사 특강,1,김영진,사학과,심화전공,3영역,수정,3.0/3.0/0.0,수/7-9,일반,,5,모름,모름,모름,모름,모름,좋음,모름
여성사의 이해,1,오경환,사학과,심화전공,3영역,수정,3.0/3.0/0.0,목/4-6,일반,,4.17,직접호명,한 번,보통,보통,보통,좋음,모름
냉전사의 이해,1,홍석률,사학과,심화전공,3영역,수정,3.0/3.0/0.0,화/7-9,일반,,4.7,직접호명,두 번,보통,없음,보통,좋음,풀강
역사 속의 불교사상과 문화,1,강호선,사학과,심화전공,3영역,수정,3.0/3.0/0.0,수/4-6,일반(블렌디드형),오프라인 플립드러닝 강좌,4.73,직접호명,두 번,보통,없음,보통,좋음,모름
근대성의 이해,1,오경환,사학과,심화전공,4영역,수정,3.0/3.0/0.0,수/7-9,일반,,4.67,직접호명,한 번,보통,없음,보통,좋음,모름
"역사학과 문화유산의 재현과 활용: 공공역사, 박물관, 글로컬리티",1,강호선,사학과,심화전공,4영역,수정,3.0/3.0/0.0,월/4-6,일반,PBL 강좌,모름,모름,모름,모름,모름,모름,모름,모름
예술경영학,1,박주연,문화예술경영학과,핵심전공,1영역,운정,3.0/3.0/0.0,목/4-6,일반,2025년도에 한하여 1학기/2학기 개설,4.91,전자출결,한 번,보통,많음,보통,좋음,풀강 아님
공연기획,1,김종헌,문화예술경영학과,핵심전공,1영역,운정,3.0/3.0/0.0,목/7-9,일반,문화예술경영학과 1학년 주전공 수강 가능,4,모름,모름,모름,모름,모름,좋음,모름
문화예술감상과 이해,1,이혜진,문화예술경영학과,핵심전공,1영역,운정,3.0/3.0/0.0,화/4-6,일반,"인문융합예술대학/융합문화예술대학 융합전공
(인문융합예술대학 11개 학과/융합문화예술대학 4개 학과 주전공 수강 가능)
문화예술경영학과 1학년 주전공 수강 가능",3.95,직접호명,한 번,보통,많음,보통,좋음,풀강 아님
문화예술감상과 이해,2,강지은,문화예술경영학과,핵심전공,1영역,운정,3.0/3.0/0.0,수/4-6,일반,"인문융합예술대학/융합문화예술대학 융합전공
(인문융합예술대학 11개 학과/융합문화예술대학 4개 학과 주전공 수강 가능)
문화예술경영학과 1학년 주전공 수강 가능",3.85,직접호명,두 번,없음,없음,보통,나쁨,모름
전시기획,1,윤아연,문화예술경영학과,핵심전공,2영역,운정,3.0/3.0/0.0,월/7-9,일반,[1학년전공탐색] [GeM(도전과 실천)],4.17,직접호명,한 번,보통,많음,보통,좋음,모름
예술적 글쓰기,1,정낙현,문화예술경영학과,핵심전공,2영역,운정,3.0/1.0/2.0,수/7-9,일반,[1학년전공탐색] [GeM(도전과 실천)],1.25,직접호명,한 번,보통,많음,깐깐함,나쁨,풀강
박물관 미술관 경영,1,강수현,문화예술경영학과,핵심전공,2영역,운정,3.0/3.0/0.0,목/7-9,일반,"인문융합예술대학/융합문화예술대학 융합전공(인문융합예술대학 11개 학과+융합문화예술대학 4개 학과 주전공 수강 가능)
문화예술경영학과 2학년 주전공 수강 가능",1.33,전자출결,없음,보통,많음,보통,나쁨,풀강
무대연출론,1,김수정,문화예술경영학과,심화전공,3영역,운정,3.0/0.0/3.0,수/1-3,일반,"융합문화예술대학 융합전공
(문화예술경영학과/미디어영상연기학과/현대실용음악학과/무용예술학과 주전공 수강 가능)
문화예술경영학과 3학년 주전공 수강 가능
일반강의실+P708+소강당 사용",4.47,직접호명,두 번,보통,많음,보통,좋음,모름
무대연출론,2,고해종,문화예술경영학과,심화전공,3영역,운정,3.0/0.0/3.0,화/4-6,일반,"융합문화예술대학 융합전공
(문화예술경영학과/미디어영상연기학과/현대실용음악학과/무용예술학과 주전공 수강 가능)
문화예술경영학과 3학년 주전공 수강 가능",3.5,직접호명,한 번,보통,많음,보통,보통,풀강
뮤지컬시장의 이해,1,김종헌,문화예술경영학과,심화전공,3영역,운정,3.0/2.0/1.0,목/1-3,일반,문화예술경영학과 3학년 주전공 수강 가능,2.5,직접호명,없음,보통,없음,보통,나쁨,풀강
문화예술정책의 이해,1,김진각,문화예술경영학과,심화전공,3영역,운정,3.0/3.0/0.0,화/7-9,일반,"융합문화예술대학 융합전공
(문화예술경영학과/미디어영상연기학과/현대실용음악학과/무용예술학과 주전공 수강 가능)
문화예술경영학과 3학년 주전공 수강 가능",4,모름,모름,모름,모름,모름,좋음,모름
극장 경영,1,김종헌,문화예술경영학과,심화전공,4영역,운정,3.0/3.0/0.0,화/1-3,일반,"융합문화예술대학 융합전공
(문화예술경영학과/미디어영상연기학과/현대실용음악학과/무용예술학과 주전공 수강 가능)
문화예술경영학과 3학년 주전공 수강 가능",3.82,전자출결,두 번,보통,없음,너그러움,좋음,모름
대중예술 트렌드 세미나,1,김진각,문화예술경영학과,심화전공,4영역,운정,3.0/1.0/2.0,수/7-9,일반,문화예술경영학과 4학년 주전공 수강 가능,4.17,직접호명,없음,보통,보통,보통,좋음,모름
미디어영상연기의 이해,1,황미숙,미디어영상연기학과,핵심전공,1영역,운정,3.0/3.0/0.0,수/7-9,일반,"2025년도에 한하여 1학기/2학기 개설
인문융합예술대학 학생 수강 가능",3.51,직접호명,두 번,보통,많음,보통,좋음,모름
호흡/발성 1,1,김혜진,미디어영상연기학과,핵심전공,1영역,운정,2.0/0.0/3.0,월/3-5,일반,미디어영상연기학과 1학년만 수강 가능,3.5,모름,모름,모름,모름,모름,좋음,모름
