전공명,과목명,교수명,이수구분,영역,추천이유
사회복지학과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
의류산업학과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
소비자산업학과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
문화예술경영학과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
현대실용음악학과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
무용예술학과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
간호학과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
뷰티산업학과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
미디어영상연기학과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
,파이썬프로그래밍,차영화,공통교양,SW문해,필수교양
,파이썬프로그래밍,이두열,공통교양,SW문해,필수교양
,파이썬프로그래밍,유정화,공통교양,SW문해,필수교양
