과목명,교수명,이수구분,영역,추천이유
비판적 사고와 토론,,공통교양,없음,1학년지정과목
기초 통계학,신준호,공통교양,경험적수리적추리,필수교양
기초 통계학,원형묵,공통교양,경험적수리적추리,필수교양
기초 통계학,김계완,공통교양,경험적수리적추리,필수교양
기초 통계학,문준서,공통교양,경험적수리적추리,필수교양
파이썬프로그래밍,김경진,공통교양,SW문해,필수교양
파이썬프로그래밍,이영한,공통교양,SW문해,필수교양
