과목명,교수명,이수구분,영역,추천이유
창조적 사고와 글쓰기,,공통교양,영역없음,1학년지정과목
미적분과 벡터해석 기초,한범석,공통교양,경험적수리적추리,필수교양
기초 통계학,박희원,공통교양,경험적수리적추리,필수교양
미적분과 벡터해석 기초,김탁원,공통교양,경험적수리적추리,필수교양
기초통계학,박만식,공통교양,경험적수리적추리,필수교양
기초 통계학,신준호,공통교양,경험적수리적추리,필수교양
기초 통계학,원형묵,공통교양,경험적수리적추리,필수교양
기초 통계학,김계완,공통교양,경험적수리적추리,필수교양
기초 통계학,문준서,공통교양,경험적수리적추리,필수교양
