전공명,과목명,교수명,이수구분,영역,추천이유
영어영문학과,비판적 사고와 토론,,공통교양,없음,1학년지정과목
일본어문·문화학과,비판적 사고와 토론,,공통교양,없음,1학년지정과목
독일어문·문화학과,비판적 사고와 토론,,공통교양,없음,1학년지정과목
프랑스어문·문화학과,비판적 사고와 토론,,공통교양,없음,1학년지정과목
중국어문·문화학과,비판적 사고와 토론,,공통교양,없음,1학년지정과목
법학과,비판적 사고와 토론,,공통교양,없음,1학년지정과목
국어국문학과,비판적 사고와 토론,,공통교양,없음,1학년지정과목
사학과,비판적 사고와 토론,,공통교양,없음,1학년지정과목
