과목명,교수명,개설학과전공,이수구분,영역,캠퍼스,수업유형,출결,시험,과제,조모임,성적,강의 시간,강의력,평점,전체 벡터
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[0, 1]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 0, 1, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
맞춤형 취업역량 기초,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0.2, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
맞춤형 취업역량 기초,이정은,인재개발팀,진로소양,도전과실천,"[0, 1]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0.2, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 1.0]"
맞춤형 취업역량 실전,김치성,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0.2, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
맞춤형 취업역량 실전,김치성,인재개발팀,진로소양,도전과실천,"[0, 1]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0.2, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 1.0]"
자기 이해와 진로탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0.6, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1.0, 0, 0, 0, 1, 0, 1.0]"
취업트렌드와 문제해결력,이동원,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,0,0,"[1, 0, 0, 0]",0,1,0.5,"[0.2, 0.0, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
취업트렌드와 문제해결력,이동원,인재개발팀,진로소양,도전과실천,"[0, 1]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,0,0,"[1, 0, 0, 0]",0,1,0.5,"[0.2, 0.0, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 1.0]"
진로설계,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",0,1,0.5,"[0.6, 0.0, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
진로설계,여지은,인재개발팀,진로소양,도전과실천,"[0, 1]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",0,1,0.5,"[0.6, 0.0, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 1.0]"
현장실습 1,미정,현장실습운영팀,진로소양,자유선택,"[0, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0.5,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.5, 0.5, 0, 0, 3, 0, 0, 1.0]"
현장실습 3,미정,현장실습운영팀,진로소양,자유선택,"[0, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.5, 0.5, 0, 0, 3, 0, 0, 0.0]"
글로벌인턴십 1,미정,현장실습운영팀,진로소양,자유선택,"[0, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.5, 0.5, 0, 0, 3, 0, 0, 0.0]"
