과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
디지털논리회로,이준세,AI융합학부,핵심전공,2영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 1.0, 1.0]",
심층학습,이규중,AI융합학부,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1, 1.0, 1.0]",
심층학습,변혜원,AI융합학부,심화전공,3영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 1.0, 0.0, 0, 1, 0, 0, 0, 1.0, 0.8]",
심층학습,이규중,AI융합학부,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 1, 1.0, 1.0]",
고급기계학습,고원준,AI융합학부,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 0, 1.0, 1.0]",
고급기계학습,고원준,AI융합학부,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 0, 1.0, 1.0]",
디지털 신호처리,이준세,AI융합학부,심화전공,3영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 1.0, 1.0]",
디지털 신호처리,이준세,AI융합학부,심화전공,3영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 1.0, 1.0]",
디지털 신호처리,이준세,AI융합학부,심화전공,3영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 1.0, 1.0]",
캡스톤디자인,유재현,AI융합학부,심화전공,4영역,"[0, 0, 3]","[0, 0, 0, 1, 0]",0.2,0.5,1,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 0, 0, 1, 0, 0.2, 0.5, 1.0, 1, 0, 0, 0, 0, 1.0, 1.0]",
지능형 게임,변혜원,AI융합학부,심화전공,4영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,1,0,"[0, 1, 0, 0]",1,1,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.2, 1.0, 0.0, 0, 1, 0, 0, 1, 1.0, 0.8]",
IoT기본실습,김준철,지능형IoT,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 1.0, 1.0]",
IoT시스템설계,김준철,지능형IoT,심화전공,3영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1.0, 1.0]",
IoT시스템설계,김준철,지능형IoT,심화전공,3영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1.0, 1.0]",
클라우드컴퓨팅AI,오장민,AI,심화전공,3영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,0.5,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0, 0.5, 0.8]",
클라우드컴퓨팅AI,오장민,AI,심화전공,3영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,0.5,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0, 0.5, 0.8]",
클라우드컴퓨팅AI,강종구,AI,심화전공,3영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.4,0,0.5,"[0, 1, 0, 0]",0,0.5,0.3,"[0, 0, 0, 0, 1, 0, 0, 0, 0.4, 0.0, 0.5, 0, 1, 0, 0, 0, 0.5, 0.6]",
메타버스의 이해,김준영,지능형IoT,심화전공,4영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,1,"[0, 1, 0, 0]",0,0.5,0.3,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 1.0, 0, 1, 0, 0, 0, 0.5, 0.6]",
디지털회로설계,정영범,지능형IoT,심화전공,4영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 0, 1.0, 1.0]",
자율이동체 시스템,안양준,AI,심화전공,4영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0,0.5,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0, 0.5, 0.8]",
