과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
현대조각 1,장욱희,조소과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
현대조각 1,정정주,조소과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
형상표현1,서승원,조소과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 1.0]",
형상표현1,서승원,조소과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 1.0]",
재료기법 1,김원근,조소과,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,1,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 1.0, 1.0]",
재료기법 1,김두원,조소과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 0.5, 0.0, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
디지털 조형 1,오원영,조소과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 0.5, 1.0, 1.0]",
디지털 조형 1,정성진,조소과,심화전공,3영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,0.5,0,"[0, 1, 0, 0]",0.5,0.5,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.2, 0.5, 0.0, 0, 1, 0, 0, 0.5, 0.5, 1.0]",
현대조각의 흐름,변경수,조소과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,0,"[0, 1, 0, 0]",0.5,0.5,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.5, 0.0, 0, 1, 0, 0, 0.5, 0.5, 1.0]",
자유창작 1,김성복,조소과,심화전공,4영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
자유창작 1,김성복,조소과,심화전공,4영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
