과목명,교수명,개설학과전공,이수구분,영역,캠퍼스,수업유형,수강안내 및 지정내용,평점,출결,시험,과제,조모임,성적,강의 시간,강의력,확인,시간표,필수,전체 벡터
문학과 시대 읽기,김길웅,공통,핵심교양,문학과예술,"[1, 0]","[0, 3, 0]",,0.8,"[1, 0, 0, 0, 0]",0.4,0,0,"[1, 0, 0, 0]",0,0,,수/1-3,필수아님,"[0.4, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.0, 0, 3, 0, 1, 0, 0.8]"
신화와 함께하는 삶,김나영,공통,핵심교양,문학과예술,"[1, 0]","[0, 3, 0]",,0.8,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,0,,목/7-9,필수아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0.0, 0, 3, 0, 1, 0, 0.8]"
동아시아 문학의 비교,송향경,공통,핵심교양,문학과예술,"[1, 0]","[0, 3, 0]",,1,"[1, 0, 0, 0, 0]",0.4,1,0,"[0, 1, 0, 0]",0,1,,금/1-3,필수아님,"[0.4, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 1.0]"
조선 문인들이 사랑한 나의 집,강혜선,공통,핵심교양,문학과예술,"[1, 0]","[0, 3, 0]",,0.8,"[1, 0, 0, 0, 0]",1,1,0,"[0, 1, 0, 0]",0,1,,수/1-3,필수아님,"[1.0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 0.8]"
세계문화유산으로 보는 한국의 역사와 문화,강호선,공통,핵심교양,역사의해석,"[1, 0]","[0, 3, 0]",,0.8,"[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,0.5,,수/10-12,필수아님,"[0.6, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.5, 0, 3, 0, 1, 0, 0.8]"
문화와 일상으로 본 서양사,오경환,공통,핵심교양,역사의해석,"[1, 0]","[0, 3, 0]",,0.8,"[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,0,,월/1-3,필수아님,"[0.6, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0, 3, 0, 1, 0, 0.8]"
역사와 현실,홍석률,공통,핵심교양,역사의해석,"[1, 0]","[0, 3, 0]",,1,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1,,수/1-3,필수아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 1.0]"
영화로 이해하는 한국사,이규철,공통,핵심교양,역사의해석,"[1, 0]","[0, 3, 0]",,0.8,"[1, 0, 0, 0, 0]",0.4,1,0,"[0, 1, 0, 0]",0,1,,화/10-12,필수아님,"[0.4, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 0.8]"
음식과 문화 이야기,고성희,공통,핵심교양,사회의이해,"[1, 0]","[0, 3, 0]",,1,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1,,수/1-3,필수아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 1.0]"
헌법: 갈등 해결의 코드,김연식,공통,핵심교양,사회의이해,"[1, 0]","[0, 3, 0]","중간고사: 4월 24일 19:00 (온라인)
기말고사: 6월 12일 19:00 (온라인)",1,"[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,,목/10-12,필수아님,"[0.6, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 1.0]"
사례로 이해하는 국제관계와 법,권현호,공통,핵심교양,사회의이해,"[1, 0]","[0, 3, 0]",,1,"[1, 0, 0, 0, 0]",0.4,1,0,"[0, 1, 0, 0]",0,1,,금/1-3,필수아님,"[0.4, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 1.0]"
경영학 개론,황성욱,공통,핵심교양,사회의이해,"[1, 0]","[0, 3, 0]",,1,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1,,금/4-6,필수아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 1.0]"
인물로 만나는 페미니즘,김미덕,공통,핵심교양,사회의이해,"[1, 0]","[0, 3, 0]",,1,"[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,,수/1-3,필수아님,"[0.6, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 1.0]"
사회적 이슈의 찬반 논쟁,정영선,공통,핵심교양,사회의이해,"[1, 0]","[0, 3, 0]",,1,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1,,금/4-6,필수아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 1.0]"
비재무보고(ESG) 공시기준의 이해,전홍민,공통,핵심교양,사회의이해,"[1, 0]","[0, 3, 0]","중간고사: 미실시
기말고사: 6월 11일 10:00-11:00 (온라인)",1,"[1, 0, 0, 0, 0]",0.4,0,0,"[1, 0, 0, 0]",0,1,,수/1-3,필수아님,"[0.4, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 1.0]"
문화 속 수학 읽기,정해남,공통,핵심교양,자연의설명,"[1, 0]","[0, 3, 0]",,0.8,"[0, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,0.5,,수/1-3,필수아님,"[0.6, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0.5, 0, 3, 0, 1, 0, 0.8]"
ESG 실천을 위한 지구의 이해,박경,공통,핵심교양,자연의설명,"[1, 0]","[0, 3, 0]",,0.6,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0,,수/1-3,필수아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0, 3, 0, 1, 0, 0.6]"
4차 산업혁명과 경영혁신,심선영,공통,핵심교양,공학과기술,"[1, 0]","[0, 3, 0]",,0.8,"[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,,월/1-3,필수아님,"[0.6, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 0.8]"
회계와 사회,심재연,공통,핵심교양,공학과기술,"[1, 0]","[0, 3, 0]",,1,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1,,수/1-3,필수아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 1.0]"
비즈니스를 위한 인공지능,심선영,공통,핵심교양,공학과기술,"[1, 0]","[0, 3, 0]",,0.8,"[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,,월/1-3,필수아님,"[0.6, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 0.8]"
IoT와 전자공학개론,김준철,공통,핵심교양,공학과기술,"[1, 0]","[0, 3, 0]",,1,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1,,수/1-3,필수아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 1.0]"
비즈니스 애널리틱스의 기초,황성욱,공통,핵심교양,공학과기술,"[1, 0]","[0, 3, 0]",,0.8,"[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,,금/1-3,필수아님,"[0.6, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 3, 0, 1, 0, 0.8]"
